School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
abilene christian,30,13,17,0.433,-2.56,1.13,2249,2133,70.9,104.9,0.318,0.341,0.543,49.1,58,12.3,7,2023,1101
air force,32,14,18,0.438,2.54,2.67,2142,2146,63.6,104,0.312,0.448,0.57,47.7,64.9,8.9,11,2023,1102
akron,33,22,11,0.667,4.56,-1.28,2463,2209,67.2,110.3,0.339,0.445,0.559,52.1,52.5,8.9,7.2,2023,1103
alabama,34,29,5,0.853,23.81,10.14,2794,2329,72.7,110.6,0.367,0.478,0.562,54.5,54.8,8.2,11.3,2023,1104
alabama a&m,33,15,18,0.455,-10.38,-7.31,2297,2340,69.9,98.9,0.347,0.327,0.528,47.8,50.9,11.4,12,2023,1105
alabama state,31,8,23,0.258,-15.95,-5.92,1963,2252,68.6,92,0.321,0.332,0.468,48.5,45.2,8.5,9.1,2023,1106
albany (ny),31,8,23,0.258,-14.39,-4.56,2086,2332,67.9,98.8,0.313,0.413,0.517,49.8,50,8.4,4.5,2023,1107
alcorn state,31,18,13,0.581,-8.44,-5.92,2112,2190,68,98.6,0.351,0.297,0.499,50.2,41.6,11.6,7.8,2023,1108
american,32,17,15,0.531,-8.33,-7.8,2093,2110,62.6,102.9,0.279,0.361,0.567,51,55.5,11.7,11.4,2023,1110
appalachian state,32,16,16,0.5,-1.39,-0.87,2248,2067,67.3,103.6,0.293,0.392,0.532,49.8,50.9,9.4,12.8,2023,1111
arizona,34,28,6,0.824,19.87,8.69,2811,2431,72.9,113.4,0.365,0.38,0.595,54.3,65.3,8.4,8.3,2023,1112
arizona state,34,22,12,0.647,10.91,8.29,2391,2302,69.2,100.6,0.308,0.395,0.507,48.7,56.9,10.4,13.2,2023,1113
arkansas,33,20,13,0.606,16.59,9.56,2456,2224,70.1,105.7,0.387,0.282,0.552,51.8,49.6,11.9,13.4,2023,1116
arkansas state,33,13,20,0.394,-7.91,-3.15,2169,2232,64.8,101,0.334,0.33,0.52,50.3,55.7,10.2,9.2,2023,1117
arkansas-pine bluff,31,10,21,0.323,-12.52,-4.89,2074,2162,71.3,93,0.328,0.433,0.501,48.7,56.5,11.2,7.9,2023,1115
army,33,17,16,0.515,-7.29,-7.75,2412,2322,68.1,106.5,0.308,0.387,0.568,53,48.8,7.4,6,2023,1119
auburn,32,20,12,0.625,14.91,9.26,2327,2146,68.7,105.4,0.355,0.354,0.531,50.8,55,11.6,13.8,2023,1120
austin peay,31,9,22,0.29,-12.02,-2.45,2067,2241,66.8,99.4,0.277,0.385,0.51,47.1,52.1,10.6,8.8,2023,1122
ball state,32,20,12,0.625,-0.81,-3.11,2445,2292,68.5,111.1,0.425,0.365,0.57,52.1,50.2,8,9.8,2023,1123
baylor,32,22,10,0.688,18.02,11.12,2469,2248,67.9,113.3,0.372,0.453,0.569,51.6,56.4,9.8,6.8,2023,1124
bellarmine,33,15,18,0.455,-7.32,-1.25,2187,2216,62.8,104.7,0.251,0.433,0.562,48,58.6,8.8,5.4,2023,1468
belmont,32,21,11,0.656,2.19,-1.62,2447,2299,69,109.9,0.249,0.416,0.575,48.4,54.3,10.1,8.1,2023,1125
bethune-cookman,33,13,20,0.394,-16.46,-7.49,2232,2459,69.6,96.9,0.313,0.326,0.505,45.9,46.8,10.2,8,2023,1126
binghamton,31,13,18,0.419,-10.51,-5.58,2133,2217,67,101,0.297,0.302,0.53,51,45.5,6.8,8.4,2023,1127
boise state,33,24,9,0.727,13.55,6.52,2384,2123,67,106.7,0.306,0.379,0.556,52.5,43.4,7.6,8.2,2023,1129
boston college,33,16,17,0.485,1.1,4.74,2197,2317,66.7,99,0.273,0.315,0.519,49.3,50.4,9.5,10.4,2023,1130
boston university,32,15,17,0.469,-8.24,-6.66,2147,2151,66.3,99.7,0.284,0.391,0.513,51.3,44,9.5,7.5,2023,1131
bowling green state,31,11,20,0.355,-8.14,-3.48,2355,2434,71.2,106.7,0.335,0.354,0.547,50.8,51,8.5,8.1,2023,1132
bradley,35,25,10,0.714,6.84,-0.34,2473,2195,65.9,106.8,0.275,0.391,0.55,52.8,50.7,10.3,11.8,2023,1133
brigham young,34,19,15,0.559,9.85,5.82,2568,2376,70.9,106.1,0.324,0.404,0.554,54,54.9,10.4,11.4,2023,1140
brown,27,14,13,0.519,-2.75,-2.97,1878,1872,69.9,99.1,0.298,0.399,0.528,50.3,54.5,10.2,9,2023,1135
bryant,30,17,13,0.567,-3.66,-4.58,2381,2193,73,108.3,0.331,0.392,0.565,53.6,47.5,9.1,9.4,2023,1136
bucknell,32,12,20,0.375,-9.99,-7.02,2161,2192,66.4,100.9,0.265,0.377,0.549,51.5,53.8,8.2,10.3,2023,1137
